,mean,median,min,quantile_20,quantile_25,quantile_44,quantile_60,quantile_75,quantile_88,max,std,skew,kurtosis,variation
volatility_dcl,20.92742494002542,8.12518729565451,0.1440016319484831,0.6126024364674166,0.8189950393593829,5.862020484437334,19.41245050093891,40.773572590719375,59.02817923845603,72.6048432540087,23.11542538978976,0.7940878981939141,-0.9061512702678036,534.322890950937
volatility_dch,22.89693359098773,8.559958351894366,0.1589025818734349,0.7162147067120228,0.9016127162669078,6.316077699884772,21.28873436417273,45.73840558689229,63.26131219115413,75.2779301209642,25.13033565261207,0.7525530565521679,-1.0127260580617348,631.5337700129454
volatility_dcm,21.91217926550657,8.342572823774438,0.1539265938375641,0.6641879937510339,0.8603038778131453,6.098084486892669,20.37498472769103,43.42786095234317,61.266990341130644,73.94138668748644,24.109199837683846,0.7700648772223908,-0.9670950661033388,581.2535168133749
volatility_dcw,8.831026421049385,7.939378272182685,0.6048510151524884,5.59885352048869,5.9809434795428,7.411182146327329,8.828011924788216,10.38234103342491,12.793245216514748,61.95375031124913,4.603228397571196,3.454790641360513,23.51072743499271,21.189711680205885
volatility_dcp,0.5642908090083539,0.5979362680876186,-4.793762879410871e-15,0.25419246286354397,0.3150154646470817,0.5381863589500862,0.6963291757949344,0.825476919341823,0.9215685747312902,1.000000000000005,0.29296970497238894,-0.2698935667732097,-1.1556018160255672,0.0858312480316086
volatility_ui,2.9524985977582654,2.4159128967675625,0.0,1.2486649933313418,1.4307569769517388,2.1595992390760124,2.896599769621548,3.876094021101987,5.234893804873566,32.11710558030611,2.29403837847774,3.1664717162466864,23.265561502167188,5.262612081928777
trend_macd,0.03007332589979464,0.0052848313701583,-6.18393151707518,-0.03958847971989997,-0.01055315556554915,0.002602550657756916,0.019535150911665307,0.09567352788807557,0.3802263361853048,3.3148995547593785,0.4743219432308416,-1.7967183692296975,25.80002671545354,0.22498130583028172
trend_macd_signal,0.030315732160516883,0.005665318894201949,-5.550458883748694,-0.036309856554695576,-0.007981248918091,0.0029359726324949004,0.020228170745202396,0.09017499392082522,0.357075812789606,3.0572778274679133,0.4452147299350383,-1.7790129458749018,25.466349540982936,0.1982161557511291
trend_macd_diff,-0.0002424062607222511,0.00010281683238285,-1.249213200074788,-0.029415059000525233,-0.013240177335360825,-0.0005818613255739354,0.0015814940501713392,0.016379678548672824,0.1047777824308389,1.4382176102325963,0.14576405612073667,-0.4052206923924109,12.966974838712112,0.021247160056769274
trend_sma_fast,21.978999690392403,8.369892279307049,0.1535054693619409,0.6702793200810762,0.8613981815675894,6.112847391764323,20.317355759938557,43.652913649876915,61.1812169011434,74.29469362894694,24.17914164530192,0.7696294778459369,-0.9681250318594254,584.6308907035738
trend_sma_slow,21.949379362758414,8.329137912163368,0.1548704482041872,0.6578030975965357,0.8564714663303815,6.104921426773072,20.367983011099007,43.57854828467735,61.32240591782791,73.85959009023813,24.16331406763156,0.770392712655227,-0.9682000622484712,583.8657467310012
trend_ema_fast,21.97895249598026,8.38951678033147,0.153869045421119,0.6697100556252438,0.859179942218465,6.104090641087091,20.367017483474292,43.67862644526595,61.20483784281954,74.30862352694224,24.17540868856261,0.7688996539944831,-0.9699715422716455,584.4503852590284
